SKU,brands,name,description,taste_notes,taste_notes_category,price_200g,image_url,varietal,altitude,processing method,roast level,roasted for,origin,blend,link
243,Kopenhagen Coffee,Nørrebro Blend,"A medium-roasted espresso blend of Brazilian, Colombian and Ethiopian coffees with natural and washed components.","Orange, Black Tea, Vanilla Buttercream","Fruity, Green/Vegetative, Sweet",RM 40,https://cdn.shopify.com/s/files/1/0564/8646/1604/files/NorrebroBlend_7adbe3d7-ba71-4a1e-ab82-269ab3e91f53.png?v=1773646012,"Rancho Grande: Yellow Bourbon; Wuchii Cauca: Mixed; Kayon Mountain G1: 74110, 74112",Rancho Grande: 1200 MASL; Wuchii Cauca: 1800-2050 MASL; Kayon Mountain G1: 1400-2000 MASL,Rancho Grande: Natural; Wuchii Cauca: Washed; Kayon Mountain G1: Natural,Medium,Espresso,"Brazil, Colombia, Ethiopia",Yes,https://www.kopenhagencoffee.com/products/noerrebro-espresso-coffee-beans
244,Decrypt Coffee,Costa Rica Los Tucanes Don Mayo Geisha,"This Geisha opens with an aromatic bouquet of wildflowers and red berries, followed by a juicy sweetness reminiscent of fruit candy and ripe cherries. As the cup cools, a silky honey texture emerges, layered with delicate florals and a whisper of citrus zest.

The roast was intentionally kept light to medium-light to highlight the varietal’s signature clarity and the vivid fruit expression brought out by the red honey process. Expect a clean finish with lingering sweetness and elegant floral aftertones — a cup that evolves gracefully with each sip.

Brew it as a pour-over or filter to appreciate its clarity and fragrance, or use single-origin espresso for a candy-like fruit shot with a smooth, syrupy body.


Bean Info

The Don Mayo Micromill is one of Tarrazú’s most renowned producers, known for meticulous processing and clean, expressive coffees. This Geisha variety, grown at high altitude, develops intense fruit character and floral complexity. The Red Honey process strikes a perfect balance between natural and washed—preserving sweetness and fruit clarity while maintaining a smooth, refined body.","Red berries, fruit candy, subtle floral, honey sweetness","Fruity, Floral, Sweet",RM 95,https://decryptcoffee.com/cdn/shop/files/Copyof_New_Productimage_19.png?v=1761670107&width=832,Geisha,"1,800 – 2,000 masl",Red Honey,Light,Both,Costa Rica,No,https://decryptcoffee.com/products/colombia-huila-el-silencio-red-pink-bourbon-copy
245,Ang Ang Roastery,Costa Rica Tarazzu Hacienda San Isidro Labrador,Process: Red Honey. Variety: Geisha. Altitude: 1950 masl,"Yellow Floral, Rose, Complex Yellow Fruits, White Grapes, Cranberry Juice","Fruity, Floral",RM 563,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/Level5-CostaRicaTarazzuHaciendaSanIsidroLabraborREDHONEY_becarefultwosamebeans.png?v=1753352275,Geisha,1950 masl,Red Honey,Unknown,Filter,Costa Rica,No,https://aarcoffeelibrary.com/products/costa-rica-tarazzu-hacienda-san-isidro-labrador
246,Ang Ang Roastery,"Light Roast - Latin America Single Origin - 'Complex, Berries, Chocolatey'","This category is mainly from America features carefully selected beans from regions like Panama, Colombia, El Salvador, Nicaragua, Costa Rica, and more, processed using either the honey or natural method. These processing techniques allow the beans to develop a rich, complex flavour profile, highlighting vibrant berry notes and a smooth, chocolatey finish. The natural sugars retained during processing bring out a swe","Complex, Berries, Chocolatey","Fruity, Nutty/Cocoa",RM 106,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/DonEliYabai7.webp?v=1753192883,,,"Red or Black Honey, or Natural Processed",Light,Filter,"Colombia, Panama, Costa Rica, El Salvador, Nicaragua",No,https://aarcoffeelibrary.com/products/light-roast-latin-america-single-origin-complex-berries-chocolatey
247,Ang Ang Roastery,"Light Roast - Africa Single Origin - 'Complex, Fruity, Berries'","This category mainly covers of Africa’s Natural, and it brings together the rich, diverse flavours of beans from Ethiopia, Kenya, Uganda, and other renowned coffee-producing regions. Natural processed, these beans are dried with the fruit still intact, allowing them to absorb vibrant, juicy flavours that result in a coffee full of complexity, fruity sweetness, and rich berry notes. With each sip, you’ll experience th","Complex, Fruity, Berries",Fruity,RM 100,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/Kagunyu8.webp?v=1753192047,,,Red/ Black Honey; or Natural Processed,Light,Filter,"Ethiopia, Kenya, Uganda",No,https://aarcoffeelibrary.com/products/light-roast-africa-single-origin-complex-fruity-berries
248,Ang Ang Roastery,Indonesia Sumatra Mandheling,Process: Semi-Washed. Variety: Mixed Varieties. Altitude: 750- 1500 masl,"Black: Herbal, Dark Chocolate, Roasted Nuts, Bittersweet; White: Rich & Bold, Milk Chocolate, Roasted Nuts, Bittersweet","Nutty/Cocoa, Roasted, Green/Vegetative",RM 67,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/productcover-07.webp?v=1753172124,Mixed Varieties,750- 1500 masl,Semi-Washed,Unknown,Espresso,Indonesia,No,https://aarcoffeelibrary.com/products/indonesia-sumatra-mandheling
249,BEAM Specialty,The Beaming Blend,"Tasting Note : Chocolate Vanilla, Mix Roasted Nuts, Sweet Herbal Brazil Fazenda Yellow Catuai Natural Colombia Cauca Caturra Washed Mandheling Typica Semi-Washed Ratio : 1:1.5 – 1:2 (20g coffee yield 30g – 40g espresso)","Chocolate Vanilla, Mix Roasted Nuts, Sweet Herbal","Sweet, Nutty/Cocoa, Roasted, Green/Vegetative",RM 51,https://beamspecialty.com/wp-content/uploads/2024/03/The-Beaming-Blend-scaled.jpg,"Catuai, Caturra, Typica",,Semi-Washed,Medium,Both,"Brazil, Colombia",Yes,https://beamspecialty.com/product/the-beaming-blend/
250,BEAM Specialty,The Golden Shot,"Tasting Note : Chocolate Cream, Cacao Nibs, Roasted Nuts Indonesia Sumatra Mandheling Typica Semi-Washed Brazil Fazenda Yellow Catuai Natural Ratio : 1:1.5 – 1:2 (20g coffee yield 30g – 40g espresso)","Chocolate Cream, Cacao Nibs, Roasted Nuts","Nutty/Cocoa, Roasted",RM 51,https://beamspecialty.com/wp-content/uploads/2024/03/The-Golden-Shot-scaled.jpg,"Catuai, Typica",,Semi-Washed,Dark,Both,"Brazil, Indonesia",Yes,https://beamspecialty.com/product/the-golden-shot/
251,Ang Ang Roastery,Ethiopia Sidamo Arbegona Rumudamo TOH #2,Process: SLD Natural. Variety: 74112. Altitude: 2000-2300 masl,"Rose, Mango, Pineapple, Strawberry Jam, Blueberry","Fruity, Floral",RM 120,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/productcover-25.webp?v=1753172729,"74,112",2000-2300 masl,SLD Natural,Unknown,Filter,Ethiopia,No,https://aarcoffeelibrary.com/products/ethiopia-sidamo-arbegona-rumudamo-toh-2
252,One Half Coffee,Costa Rica V&G San Juanillo H1 Slow Dry Natural,Region: west valley. Producer: tomas gutierrez & allan vargas. Process: slow dry natural. Altitude: 1500 masl.,"pineapple, red currant, raspberry",Fruity,RM 65,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/cr_vng_h1.png?v=1765517528,h1,1500 masl,slow dry natural,Unknown,Filter,Costa Rica,No,https://www.onehalfcoffee.com/products/costa-rica-v-g-san-juanillo-h1-slow-dry-natural?weight=200g
253,Ghostbird Coffee,Ethiopia Alo Slow-Dry Natural,"Process: Slow-Dry Natural Elevation: 1, 800 – 2, 300 masl Tasting Notes: Yellow Peach, Mango, Roselle, Floral","Yellow Peach, Mango, Roselle, Floral","Fruity, Floral",RM 170,https://cdn.shopify.com/s/files/1/0519/6749/2290/files/alo_slow_dry_natural_1.png?v=1776232743,"74,158","1, 800 – 2, 300 masl",Slow-Dry Natural,Light,Filter,Ethiopia,No,https://ghostbirdcoffee.co/products/ethiopia-alo-slow-dry-natural
254,The Crackpots,Ethiopia Yirgacheffe Buduksa AMA Bezabesh S.D. Natural,"Tasting Note: Citrus, Apricot, Honey, Sweet Nuts Brewing Recommendation: Filter Brews, Modern Espresso","Citrus, Apricot, Honey, Sweet Nuts","Fruity, Sweet, Nutty/Cocoa",RM 64,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/EGYBABNSDG-26-01_cover.png?v=1783265377,Heirloom,,Slow-dry Natural,Unknown,Both,Ethiopia,No,https://thecrackpots.com/products/ethiopia-yirgacheffe-buduksa-ama-bezabesh-s-d-natural
255,Ghostbird Coffee,Malaysia Liberica Sun-Dried Natural,"Region: Simpang Renggam, Johor Process: Sun-Dried Natural Tasting Notes: Jackfruit, Dried Longan, Black Tea In MyLiberica’s natural sun dry process, fresh coffee cherries are classified by size, then put in a temperature- and humidity-controlled greenhouse for drying. This meticulous drying process produces a consistent cup, yielding a profile of jackfruit, dried longan and black tea","Jackfruit, Dried Longan, Black Tea",Fruity,RM 65,https://cdn.shopify.com/s/files/1/0519/6749/2290/files/liberica_sun_dried.png?v=1760502195,Liberica,0 - 20 masl,Sun-Dried Natural,Medium,Both,Malaysia,No,https://ghostbirdcoffee.co/products/malaysia-liberica-sun-dried-natural
256,Ghostbird Coffee,Malaysia Liberica Sun-Dried Natural (WS),"Region: Simpang Renggam, Johor Process: Sun-Dried Natural Tasting Notes: Jackfruit, Dried Longan, Black Tea In MyLiberica’s natural sun dry process, fresh coffee cherries are classified by size, then put in a temperature- and humidity-controlled greenhouse for drying. This meticulous drying process produces a consistent cup, yielding a profile of jackfruit, dried longan and black tea","Jackfruit, Dried Longan, Black Tea",Fruity,RM 46,https://cdn.shopify.com/s/files/1/0519/6749/2290/files/liberica_sun_dried.png?v=1760502195,Liberica,20 - 100 masl,Sun-Dried Natural,Medium,Filter,Malaysia,No,https://ghostbirdcoffee.co/products/malaysia-liberica-sun-dried-natural-ws
257,BEAM Specialty,"Kenya Thageini Karibu SL28, SL34 Supernatural","Tasting Note : Cherry, Passionfruit, Mix Berries Jam, Roselle Tea Altitude : 1650 – 1800 MASL Ratio : 1:15 (1g coffee to 240water) Sign in Create an Account Username or email address *","Cherry, Passionfruit, Mix Berries Jam, Roselle Tea","Fruity, Floral",RM 110,https://beamspecialty.com/wp-content/uploads/2026/02/Kenya-Supernatural-simple.jpeg,"SL28, SL34",1650 – 1800 MASL,Supernatural,Light,Filter,Kenya,No,https://beamspecialty.com/product/kenya-thageini-karibu-sl28-sl34-supernatural/
258,43 Coffee,Kenya Thaigeini Supernatural,"Taste Notes : Passion Fruit, Hibiscus, Caramel Origin, Farm : Aguthi Farmer's Co-operative Society, Karibu Lot Suitable For : Filter, Espresso","Passion Fruit, Hibiscus, Caramel","Fruity, Floral, Sweet",RM 47,https://cdn.shopify.com/s/files/1/0668/0428/5648/files/Kenya_Thageini_Supernatural.png?v=1778837385,"SL28, SL34",,Supernatural,Light,Both,Kenya,No,https://43coffee.com/products/kenya-thaigeini-supernatural
259,The Crackpots,"Colombia La Margarita Supercritical CO2 ""Peach & Petal""","Tasting Note: Floral, Peach, Honey, Fructose Brewing Recommendation: Filter Brews, Modern Espresso","Floral, Peach, Honey, Fructose","Fruity, Floral, Sweet",RM 96,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/CLMSCPPAH-26-01_cover.png?v=1783322971,"Geisha, Caturra",,"The clever bit is that the ripe cherry is dried down to a raisin before fermentation, so the seed dr",Unknown,Both,Colombia,No,https://thecrackpots.com/products/colombia-la-margarita-supercritical-co2-peach-petal
260,The Crackpots,Colombia Los Nogales Tabi T.S. A.W,"This thermal-shock Tabi from Finca Los Nogales in Pitalito, Huila, Colombia drinks like a bowl of red berries lifted by pomegranate and white grape . That clean fruit is the point of the process: the Hernández family bathe the cherries hot then plunge them cold to knock back rogue microbes before fermentation, steering the cup sweeter and brighter","red berries out front, with pomegranate and white grape on the nose and a soft osmanthus and melon sweetness underneath","Fruity, Floral",RM 102,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/CHLNTRFPW-26-01_cover.png?v=1783322991,,600 masl,the Hernández family bathe the cherries hot then plunge them cold to knock back rogue microbes befor,Unknown,Both,Colombia,No,https://thecrackpots.com/products/colombia-los-nogales-tabi-t-s-a-w
261,Arkib Kopi,INDONESIA IJEN KEVENKA WATABIK MICROLOT,It is always rewarding to continue roasting coffee from the same producer season after season. Each harvest carries its own expression yet remains rooted in the same intention and craft. With Kevenka Coffees we see this continuity take shape again as they return with a clearer vision and renewed motivation,"Winter Melon, Chrysanthemum, Sandalwood, Mango Milk, Custard",Fruity,RM 52,https://cdn.shopify.com/s/files/1/2797/8666/files/INDONESIA_KEVENKA_WATABIK_-_00.png?v=1781662070,Java,,This careful sorting ensures integrity from the very beginning preserving clarity sweetness and stru,Medium,Both,Indonesia,No,https://arkibkopi.my/products/indonesia-ijen-kevenka-watabik-microlot
262,Arkib Kopi,BRAZIL PEDRO GABARRA SILILO LOT,"It is within the rhythm of harvest that specialty coffee reveals its most honest surprises. Each season reshapes expectations and brings new expressions from familiar origins. This marks our second encounter with Fazenda Pinhal, sourced through Falcon Coffee. As a micro specialty producer, Fazenda Pinhal continues to demonstrate quiet confidence through careful cultivation and precise processing. This year we selecte","Yellow Apple, Apricot, Dried Lemon, Crepe Cake, Almond Butter","Fruity, Nutty/Cocoa",RM 48,https://cdn.shopify.com/s/files/1/2797/8666/files/BRAZIL_PEDRO_GABARRA_SILILO_LOT-00_26d98e95-346d-41c7-8d67-0e545f48ee76.png?v=1784522372,The Producer,,"This year we selected three exclusive lots, including two peaberry micro lots and one rare honey pro",Medium,Both,Brazil,Yes,https://arkibkopi.my/products/brazil-pedro-gabarra-sililo-lot
263,One Half Coffee,Ethiopia Alo Tri-Up 74158 Tri-Up Washed,"Region: sidama, bensa. Producer: tamiru tadesse. Process: Tri-Up washed. Altitude: 2450 masl.","peach, tangerine, red apple, very sweet","Fruity, Sweet",RM 200,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/ethalotriupw.png?v=1779078843,74158,2450 masl,Tri-Up washed,Unknown,Filter,Ethiopia,No,https://www.onehalfcoffee.com/products/ethiopia-alo-tri-up-74158-tri-up-washed?weight=100g
264,One Half Coffee,Bolivia Arcangel Caturra Washed,"Region: caranavi, la paz. Producer: rodriguez family. Process: washed. Altitude: 1500 masl.","pluot, orange, white grape, apple puree","Fruity, Sweet",RM 75,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/boarcangelcw.png?v=1781758977,caturra,1500 masl,washed,Unknown,Filter,Bolivia,No,https://www.onehalfcoffee.com/products/bolivia-arcangel-caturra-washed-1?weight=200g
265,One Half Coffee,Bolivia Brenda Palli Caturra Washed,"Region: caranavi, la paz. Producer: brenda palli. Process: washed. Altitude: 1400-1650 masl.","chamomile, blueberry, red apple, lemon tea","Fruity, Green/Vegetative, Floral",RM 46,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/bobrendapalli350g.png?v=1781759701,caturra,1400-1650 masl,washed,Unknown,Espresso,Bolivia,No,https://www.onehalfcoffee.com/products/bolivia-brenda-palli-caturra-washed-1?weight=350g
266,One Half Coffee,Bolivia Don Carlos Geisha Washed,"Region: caranavi, la paz. Producer: carlos mariaca. Process: washed. Altitude: 1550 - 1650 masl.","lily, nectarine, red currant, apple, cherry plum","Fruity, Floral",RM 210,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/bodoncarlosgw_d8565661-febd-4e03-8ec3-80a10ca59a52.png?v=1783329173,geisha,1550 - 1650 masl,washed,Unknown,Filter,Bolivia,No,https://www.onehalfcoffee.com/products/bolivia-don-carlos-geisha-washed-1?weight=100g
267,Theus Micro,Bona - Washed Ethiopian,,"Primrose, Bergamot, Apricot",Floral,RM 34,https://cdn.shopify.com/s/files/1/0857/6437/4885/files/bona.png?v=1772824196,"74,110","2400 masl Production Date: 2025 Cup Score: - Cup profile: Primrose, Bergamot, Apricot",Washed,Unknown,Both,Ethiopia,No,https://theusmicro.com/products/bona-washed-ethiopian
268,One Half Coffee,BOP GW06 Stellar Amber Geisha Washed,Rank: GW06. Region: cerro punta. Producer: estela pitti. Process: washed. Altitude: 1800 masl. Whole bean: 15g per bottle.,"honeysuckle, geranium, mandarin orange, mango, white grape, red currant","Fruity, Floral","RM 11,333",https://cdn.shopify.com/s/files/1/0699/1917/8965/files/bop_gw6_117d6b22-e3b7-4710-9007-ebe8ca27e2ba.png?v=1760174314,geisha,1800 masl,washed,Unknown,Filter,Panama,No,https://www.onehalfcoffee.com/products/bop-gw06-stella-amber-geisha-washed?weight=BOP+GW06+Stella+Amber+Geisha+Single+Dose
269,Decrypt Coffee,Ethiopia Lucy Geisha (Washed),"You’ll get lots of white and yellow florals here—think elderflower and ginger blossom—balanced with sweet caramel and a touch of candied lemon. As a black coffee it’s bright and citrusy, almost like sipping lemonade. Add milk and it softens into a caramel-floral milk tea vibe that’s light, smooth, and super easy to enjoy
This coffee comes from Lucy Geisha, located in the Geisha region of Bench Maji, Ethiopia — the very birthplace of Geisha coffee. Often referred to as the ""mother of Geisha,"" this region is where all Geisha varieties trace their roots, whether Panamanian, Guatemalan, or Taiwanese.

Named after the famous hominid fossil believed to be the origin of humankind, the Lucy processing station was founded with a similar mission: to share the purest, most flavorful Geisha coffee with the world. Though officially established less than a decade ago, Lucy has quickly risen to prominence, producing coffees that rival even the finest Central and South American Geishas.

This success is thanks to the region's ideal terroir — rich soil, balanced temperature shifts, and perfect rainfall — which consistently yield cherries bursting with complex, captivating flavor.","Elderflower, Jasmine, Coffee Blossom, Apple, Passionfruit, Lemon
",Floral,RM 60,https://decryptcoffee.com/cdn/shop/files/New_Product_image_15.png?v=1755882675&width=832,Geisha,"2,280. masl",Washed,,Both,Ethiopia,No,https://decryptcoffee.com/products/ethiopia-lucy-geisha-washed
270,Decrypt Coffee,Colombia La Piragua Alexander Vargas Pink Bourbon,"Origin: Huila, Colombia Producer: Alexander Vargas, Finca La Piragua Variety: Pink Bourbon Process: Washed Altitude: 1, 750 – 1, 900 masl Roast Level: Medium Light Cup Profile: Dried cranberries, grapefruit, tangerine, floral finish","Dried cranberries, grapefruit, tangerine, floral finish","Fruity, Floral",RM 50,https://cdn.shopify.com/s/files/1/0833/5831/8785/files/Copyof_New_Productimage_22.png?v=1761670185,Pink Bourbon,"1, 750 – 1, 900 masl",Washed,Medium Light,Both,Colombia,No,https://decryptcoffee.com/products/colombia-la-piragua-alexander-vargas-pink-bourbon
271,The Crackpots,Colombia Las Margarita Rum Barrel Washed,"Tasting Note: Rum & Raisin, Tangerine, Honey, Brown Sugar Brewing Recommendation: Filter Brews, Modern Espresso","Rum & Raisin, Tangerine, Honey, Brown Sugar","Fruity, Sweet, Sour/Fermented",RM 83,https://cdn.shopify.com/s/files/1/0510/5831/1346/files/ColombiaLaMargaritaRumBarrelWashedFront.png?v=1761873348,,,Washed,Unknown,Both,Colombia,No,https://thecrackpots.com/products/colombia-las-margarita-rum-barrel-washed
272,Brew & Bread,COLOMBIA NARINO GEISHA - Whole Bean,"A washed, light-roasted Colombian Geisha offered as whole bean for pour-over or espresso.","Floral, Juicy, Sweet","Fruity, Floral, Sweet",RM 65,https://brewnbread.com/wp-content/uploads/2026/02/GEISHA-WHOLE-BEAN-Cover-Photo.jpeg,Geisha,,Washed,Light,Both,Colombia,No,https://brewnbread.com/product/colombia-narino-geisha-whole-bean/
273,COFA Coffee,Colombia Supremo,"A washed, medium-roasted Colombia Supremo with a rich body, smooth acidity and a chocolatey, nutty profile.","Hazelnut, Maple Syrup, Chocolate","Sweet, Nutty/Cocoa",RM 52,https://cofastore.com.my/wp-content/uploads/2021/11/COLOMBIA-SUPREMO-1.jpg,,,Washed,Medium,Both,Colombia,No,https://cofastore.com.my/product/colombia-supremo/
274,Decrypt Coffee,Colombia Wuchii Cauca Popayan Reserve,"During profiling, we pushed development just enough to bring out caramelized sweetness, cocoa depth, and a rounded body, while keeping bitterness low and acidity gentle.

The beans from Popayán are naturally dense, so they respond well to heat. We extended the Maillard phase to build a rich, warm nutty tone, then finished with a controlled development time to preserve a subtle citrus lift that keeps the cup lively.

Expect a cup that is smooth, balanced, and dependable—a comforting Colombian profile elevated by careful roasting. Excellent as espresso, crowd-pleasing as a milk coffee, and beautifully clean on filter despite its fuller roast.","Dark Caramel, Roasted Almond, Cocoa Nibs, Gentle Citrus Lift","Nutty/Cocoa, Sweet",RM 45,https://cdn.shopify.com/s/files/1/0833/5831/8785/files/Copyof_New_Productimage_30.png?v=1764868521,"Caturra, Castillo, Colombia","1, 700–1, 900 masl",Washed,Medium-Dark,Both,Colombia,No,https://decryptcoffee.com/products/colombia-wuchii-cauca-popayan-reserve
275,Decrypt Coffee,Ethiopia Guji Urabeast G1,"This Urabeast lot bursts with a lively brightness of red currant, unfolding into juicy layers of grape sweetness. The washed process keeps the flavors clean and defined, allowing the fruit character to shine with remarkable clarity. As the cup settles, a gentle red tea aftertaste emerges, soft and lingering, bringing balance to its vibrant acidity. The texture is silky yet light, with a finish that carries both elegance and persistence. Each sip feels refreshing and precise, embodying the hallmark refinement of Guji coffees while standing out for its structured fruit depth.

Bean Info
The Urabeast lot is a specialty microlot from the Uraga / Guji area in southern Ethiopia. The name “Urabeast” is a coined lot name combining “Uraga” (the local region) with “beast,” meant to evoke energy and strength. The coffee is sourced from smallholder farmers in micro-regions such as Tobutu, Gomoro, and Suke around Uraga.

While Ethiopian coffees generally remain grouped under “heirloom” or local landraces, this lot is believed to contain a mix of local varieties, including JARC-74 lines (74110, 74112) and inherited indigenous varietals passed through farmer generations. Such diversity contributes to layered aromatics and complexity in Ethiopian coffees.

This lot is fully washed. The cherries are hand-picked and delivered fresh, sorted and floated to remove defective or low-quality fruit. The pulping is done promptly, and the beans undergo fermentation (wet/soaked) to remove mucilage completely. After fermentation, the beans are washed and then dried on raised beds under controlled conditions — turned periodically to ensure even drying and to avoid over-fermentation or undesired off-flavors.

At altitudes between ~2,100 and 2,300 masl, the region experiences cool nights and high diurnal temperature variation, which slows cherry maturation and intensifies the development of sugars and aromatic precursors. The soils and microclimate of Guji, combined with careful processing, allow the lot to express both vibrant fruit notes and deeper complexity.

The Urabeast lot is positioned as a bold, distinctive microlot within Guji’s growing reputation for expressive, terroir-driven coffees. Its name and branding evoke strength, yet the microlot aims to preserve the elegance and nuance typical of Ethiopian washed profiles. The mix of heirloom genetics and precise washing/drying contribute to clarity, depth, and a fruit-driven cup with red-tea character.
Best as pour over (V60, Kalita, Origami) for clarity; also works in lighter espresso","Red currant, grape, tea-like finish",Fruity,RM 55,https://decryptcoffee.com/cdn/shop/files/Copyof_New_Productimage_12.png?v=1759162128&width=832,Heirloom,"2,100 – 2,300 masl",Washed,Medium,Both,Ethiopia,No,https://decryptcoffee.com/products/costa-rica-la-abejilla
276,One Half Coffee,Costa Rica La Luisa Catuai Washed,"Region: sarchi, alajuela. Producer: beneficio la eva. Process: washed. Altitude: 1800 masl.","red plum, blackberry, honey","Fruity, Sweet",RM 37,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/cr_la_luisa_698a62f0-f6e3-47f1-ba0a-75e9e1634ce7.png?v=1762915566,catuai,1800 masl,washed,Unknown,Espresso,Costa Rica,No,https://www.onehalfcoffee.com/products/costa-rica-la-luisa-catuai-washed?weight=350g
277,Ang Ang Roastery,Costa Rica Tarazzu Don Eli Miramar,Process: Washed. Variety: Geisha. Altitude: 2000 masl,"Red Floral, Lychee, Grapefruits, Mango, Orange Marmalade, Sticky Mouthfeel","Fruity, Floral",RM 438,https://cdn.shopify.com/s/files/1/0609/6374/9959/files/Level5CostaRicaTarazzuDonEliMiramarWASHED.png?v=1753352286,Geisha,2000 masl,Washed,Unknown,Filter,Costa Rica,No,https://aarcoffeelibrary.com/products/costa-rica-tarazzu-don-eli-miramar
278,One Half Coffee,Ecuador Chito Cafexporto Blend Washed,Region: zamora chinchipe. Producer: chito community. Process: washed. Altitude: 1543 masl.,"plum, raisin, brown sugar","Fruity, Sweet",RM 43,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/ecua_chito_w.png?v=1749296101,"cafexporto - sarchimor, sl28, catimor, castillo",1543 masl,washed,Unknown,Espresso,Ecuador,Yes,https://www.onehalfcoffee.com/products/ecuador-chito-washed?weight=350g
279,One Half Coffee,Ecuador La Papaya Typica Mejorado Washed,Region: loja. Producer: juan peña. Process: washed. Altitude: 1600 masl.,"orange, plum, red berries, fresh lemon tea","Fruity, Green/Vegetative",RM 75,https://cdn.shopify.com/s/files/1/0699/1917/8965/files/ecuappytmw.png?v=1779095383,typica mejorado,1600 masl,washed,Unknown,Filter,Ecuador,No,https://www.onehalfcoffee.com/products/ecuador-la-papaya-typica-mejorado-washed?weight=200g
280,Kopenhagen Coffee,El Descanso,"A washed Castillo from Colombia, grown at 1,400–2,000 MASL and light roasted for filter brewing.","Apricot, Sweet Plum, Sugar Cane","Fruity, Sweet",RM 68,https://cdn.shopify.com/s/files/1/0564/8646/1604/files/ColombiaElDescanso_87f18e1a-1171-4ce7-9977-5989a8a00996.png?v=1773645772,Castillo,1400-2000 MASL,Washed,Light,Filter,Colombia,No,https://www.kopenhagencoffee.com/products/el-descanso
281,Decrypt Coffee,Colombia El Diviso Gesha #2 (Exclusive Lot),"This Geisha opens with an intensely fragrant aroma reminiscent of fresh lychee and blooming sweet osmanthus. The first sip reveals a juicy, elegant sweetness similar to Nyuumichi candy—delicately fruity, floral, and almost syrup-like without feeling heavy.

A bright yet graceful layer of lemongrass citrus runs through the cup, bringing lift and vibrancy to the profile. As the coffee cools, the floral aromatics become increasingly expressive, revealing soft tea-like nuances and a lingering honeyed sweetness.

Roasted light to preserve maximum aromatic complexity, this coffee delivers exceptional clarity and flavor separation. As a filter brew, it highlights the Geisha’s floral elegance and sparkling fruit notes. Pulled as a milk-based espresso, the cup transforms beautifully—its lychee sweetness and floral character cutting through milk to create an unusually aromatic and expressive latte experience.
","Nuomichi Lychee, Lemongrass, sweet osmanthus, tea-like sweetness",Fruity,RM 85,https://decryptcoffee.com/cdn/shop/files/Copyof_New_Productimage_44.png?v=1783011737&width=832,Geisha,"1,750 – 1,900 masl",Thermal Shock Washed,Medium Light,Both,Colombia,No,https://decryptcoffee.com/products/colombia-el-diviso-gesha-2
282,Ghostbird Coffee,El Salvador Finca Lima Picaflor [Washed],"Farm: Finca Lima Picaflor Elevation : 1, 000 – 1, 900 masl Tasting Notes: Pear, Dulce de Leche, Macadamia","Pear, Dulce de Leche, Macadamia",Nutty/Cocoa,RM 40,https://cdn.shopify.com/s/files/1/0519/6749/2290/files/el_salvador_finca_lima.png?v=1776229899,Red Bourbon,"1, 000 – 1, 900 masl",Washed,Medium,Both,El Salvador,No,https://ghostbirdcoffee.co/products/el-salvador-finca-lima-washed
283,Ghostbird Coffee,El Salvador Finca Lima Picaflor [Washed] (WS),"Farm: Finca Lima Picaflor Elevation : 1, 000 – 1, 900 masl Tasting Notes: Pear, Dulce de Leche, Macadamia","Pear, Dulce de Leche, Macadamia",Nutty/Cocoa,RM 24,https://cdn.shopify.com/s/files/1/0519/6749/2290/files/el_salvador_finca_lima.png?v=1776229899,Red Bourbon,"1, 000 – 1, 900 masl",Washed,Medium,Filter,El Salvador,No,https://ghostbirdcoffee.co/products/el-salvador-finca-lima-picaflor-washed-ws
284,43 Coffee,Colombia Narino Elcelso EP,"Sourced from the FUDAM Cooperative in the renowned Nariño region, this medium-roasted washed Caturra offers a beautifully balanced and approachable cup. Rich brown sugar and caramel sweetness blend seamlessly with creamy milk chocolate, while a gentle citrus brightness adds freshness and clarity to the finish. Smooth and versatile, it shines as a comforting filter coffee and produces a sweet, well-rounded espresso that pairs exceptionally well with milk.","Brown Sugar, Caramel, Citrus ","Sweet, Fruity",RM 36,https://43coffee.com/cdn/shop/files/Colombia_Narino_Excelso_EP.png?v=1785208795&width=1445,Caturra,,Washed,Medium,Both,Colombia,No,https://43coffee.com/products/colombia-narino-excelso-ep
